event_ts_ms,udp_ts,ws_ts,delta_ms,faster_source
1771559437037,1771559434186824,1771559434186765,0.059,WS
1771559437041,1771559434198494,1771559434198518,-0.024,UDP
1771559437098,1771559434249411,1771559434249336,0.075,WS
1771559437107,1771559434258660,1771559434258459,0.201,WS
1771559437108,1771559434258672,1771559434258465,0.207,WS
1771559437110,1771559434258692,1771559434258555,0.137,WS
1771559437112,1771559434263001,1771559434262976,0.025,WS
1771559437140,1771559434283552,1771559434283527,0.025,WS
1771559437144,1771559434287759,1771559434287722,0.037,WS
1771559437158,1771559434302678,1771559434302681,-0.003,UDP
1771559437177,1771559434322735,1771559434322751,-0.016,UDP
1771559437194,1771559434338597,1771559434338589,0.008,WS
1771559437197,1771559434343189,1771559434343149,0.040,WS
1771559437218,1771559434361568,1771559434361573,-0.005,UDP
1771559437308,1771559434452246,1771559434452217,0.029,WS
1771559437311,1771559434457676,1771559434457685,-0.009,UDP
1771559437329,1771559434474005,1771559434473954,0.051,WS
1771559437397,1771559434542352,1771559434542343,0.009,WS
1771559437403,1771559434546578,1771559434544762,1.816,WS
1771559437433,1771559434575634,1771559434575534,0.100,WS
1771559437613,1771559435044696,1771559435044587,0.109,WS
1771559437621,1771559435044708,1771559435044594,0.114,WS
1771559437650,1771559435064302,1771559435064247,0.055,WS
1771559437739,1771559435166283,1771559435166237,0.046,WS
1771559437839,1771559435166293,1771559435166243,0.050,WS
1771559437999,1771559435192934,1771559435192922,0.012,WS
1771559438020,1771559435192940,1771559435192931,0.009,WS
1771559438055,1771559435208464,1771559435208483,-0.019,UDP
1771559438248,1771559435419025,1771559435419025,0.000,WS
1771559438298,1771559435496749,1771559435496715,0.034,WS
1771559438301,1771559435496761,1771559435496727,0.034,WS
1771559438366,1771559435511455,1771559435511443,0.012,WS
1771559438368,1771559435522329,1771559435522237,0.092,WS
1771559438371,1771559435526613,1771559435526606,0.007,WS
1771559438373,1771559435526621,1771559435526616,0.005,WS
1771559438381,1771559435540217,1771559435540202,0.015,WS
1771559438383,1771559435540225,1771559435540210,0.015,WS
1771559438433,1771559435578313,1771559435578275,0.038,WS
1771559438436,1771559435578325,1771559435578283,0.042,WS
1771559438438,1771559435582486,1771559435582447,0.039,WS
1771559438485,1771559435696925,1771559435696871,0.054,WS
1771559438487,1771559435696932,1771559435696876,0.056,WS
1771559438489,1771559435696933,1771559435696880,0.053,WS
1771559438492,1771559435696943,1771559435696882,0.061,WS
1771559438493,1771559435696944,1771559435696886,0.058,WS
1771559438497,1771559435696949,1771559435696889,0.060,WS
1771559438546,1771559435809209,1771559435809217,-0.008,UDP
1771559438548,1771559435811688,1771559435811562,0.126,WS
1771559438571,1771559435813131,1771559435813053,0.078,WS
1771559438574,1771559435813141,1771559435813062,0.079,WS
1771559438576,1771559435813143,1771559435813067,0.076,WS
1771559438602,1771559435841540,1771559435841497,0.043,WS
1771559438604,1771559435853084,1771559435853082,0.002,WS
1771559438692,1771559435853099,1771559435853099,0.000,WS
1771559438696,1771559435853107,1771559435853104,0.003,WS
1771559438721,1771559436126681,1771559436126658,0.023,WS
1771559438757,1771559436142606,1771559436142622,-0.016,UDP
1771559438759,1771559436142608,1771559436142636,-0.028,UDP
1771559438762,1771559436142609,1771559436142641,-0.032,UDP
1771559438764,1771559436144425,1771559436142646,1.779,WS
1771559438770,1771559436144429,1771559436144419,0.010,WS
1771559438977,1771559436170405,1771559436170498,-0.093,UDP
1771559438979,1771559436170410,1771559436170525,-0.115,UDP
1771559438982,1771559436170411,1771559436170586,-0.175,UDP
1771559438987,1771559436170436,1771559436170599,-0.163,UDP
1771559438988,1771559436170460,1771559436170608,-0.148,UDP
1771559438989,1771559436170490,1771559436170623,-0.133,UDP
1771559438992,1771559436170493,1771559436170642,-0.149,UDP
1771559438994,1771559436170503,1771559436170652,-0.149,UDP
1771559438996,1771559436170575,1771559436170657,-0.082,UDP
1771559438998,1771559436170594,1771559436170663,-0.069,UDP
1771559439001,1771559436178860,1771559436178777,0.083,WS
1771559439016,1771559436209398,1771559436209350,0.048,WS
1771559439018,1771559436209495,1771559436209356,0.139,WS
1771559439019,1771559436209500,1771559436209361,0.139,WS
1771559439021,1771559436209505,1771559436209367,0.138,WS
1771559439023,1771559436209513,1771559436209373,0.140,WS
1771559439024,1771559436209521,1771559436209374,0.147,WS
1771559439025,1771559436209528,1771559436209378,0.150,WS
1771559439026,1771559436209529,1771559436209390,0.139,WS
1771559439027,1771559436209550,1771559436209391,0.159,WS
1771559439028,1771559436209560,1771559436209395,0.165,WS
1771559439029,1771559436209585,1771559436209414,0.171,WS
1771559439030,1771559436209594,1771559436209418,0.176,WS
1771559439033,1771559436209595,1771559436209422,0.173,WS
1771559439034,1771559436209607,1771559436209427,0.180,WS
1771559439036,1771559436209612,1771559436209431,0.181,WS
1771559439037,1771559436209618,1771559436209436,0.182,WS
1771559439040,1771559436209623,1771559436209440,0.183,WS
1771559439044,1771559436209624,1771559436209443,0.181,WS
1771559439049,1771559436233795,1771559436233677,0.118,WS
1771559439064,1771559436237686,1771559436237623,0.063,WS
1771559439123,1771559436283078,1771559436282987,0.091,WS
1771559439127,1771559436288169,1771559436288173,-0.004,UDP
1771559439175,1771559436334059,1771559436334054,0.005,WS
1771559439177,1771559436337429,1771559436337401,0.028,WS
1771559439179,1771559436337449,1771559436337406,0.043,WS
1771559439199,1771559436343594,1771559436343557,0.037,WS
1771559439200,1771559436343600,1771559436343566,0.034,WS
1771559439208,1771559436358698,1771559436358621,0.077,WS
1771559439221,1771559436486983,1771559436486944,0.039,WS
1771559439300,1771559436543197,1771559436542979,0.218,WS
1771559439322,1771559436543208,1771559436542985,0.223,WS
1771559439323,1771559436543210,1771559436542989,0.221,WS
1771559439326,1771559436543211,1771559436542992,0.219,WS
1771559439327,1771559436543213,1771559436543067,0.146,WS
1771559439330,1771559436543234,1771559436543079,0.155,WS
1771559439333,1771559436543285,1771559436543084,0.201,WS
1771559439334,1771559436543291,1771559436543090,0.201,WS
1771559439340,1771559436543293,1771559436543101,0.192,WS
1771559439353,1771559436543295,1771559436543109,0.186,WS
1771559439364,1771559436556820,1771559436556736,0.084,WS
1771559439366,1771559436556832,1771559436556751,0.081,WS
1771559439368,1771559436556834,1771559436556759,0.075,WS
1771559439376,1771559436560385,1771559436560325,0.060,WS
1771559439425,1771559436665023,1771559436664948,0.075,WS
1771559439435,1771559436709973,1771559436709966,0.007,WS
1771559439436,1771559436730801,1771559436730783,0.018,WS
1771559439553,1771559437048870,1771559437048842,0.028,WS
1771559439746,1771559437066303,1771559437066215,0.088,WS
1771559439802,1771559437066314,1771559437066243,0.071,WS
1771559439869,1771559437080177,1771559437080145,0.032,WS
1771559439870,1771559437080187,1771559437080154,0.033,WS
1771559439908,1771559437096214,1771559437096103,0.
